baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
51365	174.522621286179	1.55830537260828	0.275560663237324	5.65503564369856	1.55813933985325e-08	2.62499734585078e-05
6425	79.1369116766301	-1.12648031218723	0.310889309317887	-3.62341283030546	0.000290741217048687	0.0236624023363248
55796	38.8607046335322	1.03632457831506	0.248113501943336	4.1768165383911	2.95617264274921e-05	0.00559580230476358
54810	33.7511387165014	-1.23613235430242	0.334510408598173	-3.69534795488923	0.000219585856174357	0.0201052332552685
12	190.047969684483	-2.84295729143208	0.505084671468346	-5.62867465996789	1.81599555541113e-08	2.78127973836466e-05
57393	742.654498829413	1.00450200950791	0.269927878674295	3.72137185103425	0.00019814341176687	0.018545122544647
2161	144.73542384405	-1.61332460101632	0.422269763981613	-3.82060175420605	0.000133126466441695	0.0154674591734016
54947	27.3356836471871	-1.4742822586215	0.445398648591572	-3.31002858514151	0.000932864438527337	0.0467540425107276
2194	96.5796523461497	-1.12245438627783	0.320790427575198	-3.49902705876317	0.00046695919037833	0.030491711163968
729857///400966	69.8023258158627	1.41084360940414	0.315048816222208	4.47817460900744	7.52840136693877e-06	0.00207919635784947
162963	13.5714307511018	1.33148217833499	0.244285398501571	5.4505188869339	5.02230684838387e-08	6.04362881962308e-05
1840	47.8070535862866	-1.86113416930633	0.326379481349401	-5.70236266572748	1.18158100144095e-08	2.21178834791952e-05
64881	169.187566878152	1.65927293120612	0.435023980577721	3.81421026262179	0.000136619115105733	0.0155515015688262
727770	56.8858237854701	-1.57245925001497	0.446103725065937	-3.52487361494807	0.000423684880286352	0.0286659404746353
144501	23.9543541774435	-1.09738991563284	0.323432038841005	-3.39295364666175	0.000691433375037761	0.0389344812946051
26034	26.6078233321381	-1.3438897739815	0.310912232693511	-4.32240881080504	1.54334878663111e-05	0.00356175301484579
84677	145.518186441699	-1.4757294591833	0.376392448020055	-3.92072016042329	8.8284736848795e-05	0.0117194477297973
135112	19.4145331492713	-1.25069159544093	0.377999514299097	-3.30871217588737	0.000937261367142435	0.0467540425107276
642477///503639///503637	52.984953977173	-1.08859543528644	0.280794890332694	-3.8768349167488	0.000105824106894981	0.0135829078766694
221395	28.9148244426579	1.43324784530646	0.38484185902535	3.72425143391703	0.000195895614918869	0.0185031511400534
57007	19.2457615613528	-1.03300410231808	0.28819167587357	-3.58443421097026	0.0003378096977259	0.0261058714568268
387066///26799	27.1490560213482	1.92373705800969	0.510153260957873	3.77090024750141	0.000162659688459072	0.0172366824949749
140701	62.7957697319636	1.0307420414432	0.226101161020087	4.55876492094453	5.14553277825121e-06	0.00167340378997667
101929550	132.369871996129	1.34192433539088	0.292090380666618	4.59420927292539	4.34393275280137e-06	0.00165076058905762
7120///7117///7116///7115///7114	197.003540330686	-1.41267526852088	0.360325583121729	-3.92055223024125	8.83462848984542e-05	0.0117194477297973
440302	15.8917187810366	1.02594285097564	0.276294188974712	3.71322630701272	0.000204633746938169	0.0190467664898748
389541	301.439522103049	-1.00471154565695	0.172589664214305	-5.82138884289963	5.83606141367917e-09	1.40457323766076e-05
10924	17.4026831194397	1.03314735109228	0.291778368010844	3.5408634236171	0.000398819964500642	0.0278408486202602
5646	1006.55672457577	-1.42335267307402	0.416919762944071	-3.41397266232487	0.00064022999463774	0.0371929473091793
163782	39.5935800261089	-1.89051306836849	0.419577606026331	-4.50575302689022	6.61379763393396e-06	0.00192108015067044
91582	18.8436780921311	-1.39857145175017	0.283915515954964	-4.92601275082134	8.39245234485603e-07	0.000543798633283806
100506699	17.0065069474535	-1.14466911501373	0.333070670169437	-3.43671544069439	0.000588813864177199	0.0356581766374805
131096	41.2279274414194	-1.19565632005133	0.331545389010149	-3.60631261867655	0.000310578944043378	0.0247977415653971
100507064	303.864580371787	-1.23180813313385	0.271596998988203	-4.53542615611653	5.74872896962931e-06	0.00179349698058046
285025	29.940607151642	-1.20857425431215	0.342294646857739	-3.53080092080566	0.000414303446823999	0.0282581788204207
