baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
8529	31.8206718554945	1.67421876287198	0.395069711527264	4.23778060940124	2.2574019172157e-05	0.00452743453563487
771	64.5321758478844	-1.55784874926014	0.307024533054203	-5.07402041707565	3.89497237336257e-07	0.000285298259017561
643911	25.2594996914757	-2.58121140235177	0.476189214128405	-5.42055831120892	5.94131885537688e-08	6.25583742228339e-05
27429	335.660416456898	-1.20445645904815	0.340997967779278	-3.53215142862018	0.000412193245214527	0.0282285349680046
57402	21.9529463125933	-1.64147438328925	0.339707365343766	-4.83202470934995	1.35151475858923e-06	0.000785136866825956
653441///1911	191.407797256863	1.03408034124165	0.241181356615107	4.28756333306434	1.80643762125186e-05	0.00380413182565377
486	109.210559760894	1.0427055606716	0.314796828641456	3.31231278654083	0.000925280316132955	0.0466274682731481
1208	1519.71803780147	-1.02055374415638	0.293359960628295	-3.47884469976966	0.000503580329980314	0.0320691414996831
5973	96.8316082530004	-1.05695202231762	0.23329960379003	-4.53044928129789	5.88583839687885e-06	0.00180288580858578
116496	19.3434747474424	-1.30214599457515	0.393660971122526	-3.30778535363076	0.000940368548083395	0.0467540425107276
5349	99.1950011990323	-1.33567667590967	0.285240633674455	-4.68263114796637	2.83215870239852e-06	0.00122341993998225
84937	88.2025868718203	-1.28405081076618	0.371314971994437	-3.45811752181492	0.000543964042196474	0.0337397262354729
307	254.313206229983	-1.0606083294858	0.282059339615424	-3.7602312014624	0.000169756392639291	0.0175081234596965
28513	26.8934293917957	-1.79671100091273	0.469377651627752	-3.82785800449153	0.000129263289302828	0.0151229071866996
11082	55.9972314544163	1.69847295722988	0.471574408504887	3.60170723134624	0.000316134272383492	0.0251222362587014
79623	165.342307421289	1.10028252377361	0.175103124121314	6.28362588785861	3.30766130467032e-10	1.85747233332603e-06
140462	2508.3939250376	1.20324169412117	0.247690542901431	4.85784269365506	1.18671629346009e-06	0.000714021764140074
7113	72.3702541857435	-1.09645786407049	0.205955057752657	-5.32377245810242	1.01637031112042e-07	9.51266146191433e-05
1672	71.5127987712101	-1.40797390644946	0.395510123310483	-3.5598934729268	0.000371005262208554	0.027413709001875
729	69.6342511816513	-1.10754828078655	0.338000317946391	-3.27676697914295	0.00105002988837496	0.0495514104466468
5104	55.0271699180922	-1.15182495884437	0.246507601726081	-4.67257378993233	2.97448599524021e-06	0.00123303907169033
1490	113.205458207602	1.48030368015983	0.344463970252233	4.29741223465514	1.72803645620613e-05	0.00379712272972161
3486	97.9104621805408	1.11659248527693	0.179403727159115	6.22390907345314	4.84918180261113e-10	2.04235414571474e-06
563	73.5774192966677	-1.0163161884564	0.286791340804834	-3.54374781889952	0.000394482375591713	0.0278068810945338
9750	109.214563883288	-1.10494960029701	0.337584343183878	-3.27310677348316	0.00106372286327342	0.0499179361492123
8908	19.0719019335551	1.01862154439141	0.278190040449897	3.66160320744792	0.000250641850702843	0.0215632492709494
29969	565.292856188314	-1.13046186539001	0.161572723753031	-6.99661328429394	2.62223761642278e-12	2.20884185619373e-08
290	86.5378298813981	-1.98526685577342	0.378736748901433	-5.24181205423529	1.59007287324246e-07	0.00014098925102903
9023	159.19927053381	-1.55731172865223	0.389712097640454	-3.99605693043945	6.44062516698071e-05	0.00951800106913369
1057	118.781061693315	-1.31382072069095	0.358488260843178	-3.66489189241732	0.00024744308186844	0.0215632492709494
1164	39.8265296724671	-1.01812191599505	0.237627019542153	-4.28453766729352	1.83119583864597e-05	0.00380866127082329
1266	24.2228457184644	-1.1978469475417	0.314045612954932	-3.81424512277331	0.000136599833687083	0.0155515015688262
